,doc_id,paragraph_id,source_text,target_text,error_types,num_errors,source_file,has_sec,mec_only
3349,29,2,No matter which reason stated above exactly dominant to the rising of life expectancies it is one of the evidence of the achievement of human nation.,"No matter which reason stated above is responsible for  rising  life expectancy , it is  evidence of the achievement of the humanrace.","['V0', 'Rloc-', 'Wci', 'Prep', 'ArtOrDet', 'Prep', 'Nn', 'Mec', 'Rloc-', 'ArtOrDet', 'Wci']",11,official.sgml,True,False
3352,29,2,The rising of life expectancies shows the human nation has overcome some of the challenges of the natural environment around us during the existence of so many centuries therefore it is an achievement.,"The rising  life expectancy shows the human nation has overcome some of the challenges of the natural environment around us during the existence of so many centuries; therefore, it is an achievement.","['Prep', 'Nn', 'Srun', 'Mec']",4,official.sgml,True,False
3353,29,3,"However , the rising of life expectancies is also a challenge to the entire human nation.","However,  rising  life expectancy is also a challenge to the entire human race.","['Mec', 'ArtOrDet', 'Prep', 'Nn', 'Wci']",5,official.sgml,True,False
3356,29,3,"And also the over crowded modern cities also raise problem of public transportations, unevenly distributed wealth and education resources shortage also are the problems that some countries that may face to .","Theovercrowded modern cities also raise the problem of public transportation, unevenly distributed wealth and education resource shortages  are the problems that some countries  may have face to .","['Trans', 'Mec', 'Mec', 'ArtOrDet', 'Nn', 'Nn', 'Nn', 'Trans', 'Ssub', 'Vm', 'WOinc']",11,official.sgml,True,False
3359,29,5,"For developing countries, they may encounter more about the shortage of food resources and and the problem of how to develop better medication system to serve the entire nation, and they also face the problem of how to distribute the wealth evenly to benefit the entire population, more over they need to consider carefully how to build the education system so that the next generation of the population will be able to carry on to raise the whole country.","For developing countries, they may encounter more   shortage of food resources  and the problem of how to develop a better medical system to serve the entire nationThey also face the problem of how to distribute  wealth evenly to benefit the entire population.Moreover, they need to consider carefully how to build the education system so that the next generation  will be able to carry on to improve the whole country.","['Prep', 'ArtOrDet', 'Rloc-', 'SVA', 'Wform', 'Rloc-', 'ArtOrDet', 'Mec', 'Mec', 'Rloc-', 'Wci']",11,official.sgml,True,False
3360,29,6,"For developed countries, the challenge they face mainly are the over crowded modern cities usually face the public transportation problem and also the unevenly distributed wealth which result in that some of the population unable to benefit from the development of the human society in terms of technology which improve the life quality.","For developed countries, the challenge they face are mainly that theovercrowded modern cities usually have a public transportation problems and also  unevenly distributed wealth which results in  some of the population being unable to benefit from the development of  human society in terms of technology which improves the quality of life.","['WOadv', 'Ssub', 'Mec', 'Wci', 'ArtOrDet', 'Nn', 'ArtOrDet', 'SVA', 'Ssub', 'Vform', 'ArtOrDet', 'Vt', 'Wci']",13,official.sgml,True,False
3361,29,7,"In conclutin, the rising life expectancies can be considered both challenge and achievement.","In conclusion,  rising life expectancy can be considered both challenge and achievement.","['Mec', 'ArtOrDet', 'Nn']",3,official.sgml,True,False
3371,30,2,"On the other hand , the rising life expectancy can also be an indication, though not entirely, of a country's reputation to their citizens.","On the other hand,  rising life expectancy can also be an indication, though not entirely, of a country's responsibility to their citizens.","['Mec', 'ArtOrDet', 'Wci']",3,official.sgml,True,False
3380,30,4,"As an overall, the rising life expectancies can be considered as a pro and con to the country.","Overall,  rising life expectancy can be considered as anadvantage and disadvantage to the country.","['Trans', 'ArtOrDet', 'Mec', 'ArtOrDet', 'Nn', 'ArtOrDet', 'Wci', 'Wci']",8,official.sgml,True,False
3381,30,4,"Pro, in terms of the intangible aspects such as emotional and mental development of the future generations and contribution to a country's well reputation.","It is an advantage, in terms of the intangible aspects, such as emotional and mental development of  future generations and contribution to a country's good reputation.","['Sfrag', 'Mec', 'ArtOrDet', 'Wform']",4,official.sgml,True,False
3385,31,0,"Most of the illness lies with mental illness, musculoskeletal pain and sight and hearing loss.","Most of the illness is associated with mental illness, musculoskeletal pain, and sight and hearing loss.","['Wci', 'Mec']",2,official.sgml,True,False
3391,31,1,"As the amount of stress, the types of food mixed with chemicals and the quality of living in terms of environment were getting worst.","As the amount of stress, the types of food mixed with chemicals, and the quality of living in terms of environment  get worse.","['Mec', 'Vform', 'Vt', 'Wform']",4,official.sgml,True,False
3396,31,1,Therefore the challenge is that we need to maintain or improve the state of living is a huge challenge.,"Therefore, the challenge is that we need to maintain or improve the state of living is  huge .","['Mec', 'ArtOrDet', 'Rloc-']",3,official.sgml,True,False
3400,31,2,"Therefore, achieving such great fret, in these areas is considered as an achievement where human lives is then improved and extended the life of us.","Therefore, achieving such a great feat in these areas is considered  an achievement because human lives have been  improved and extended .","['ArtOrDet', 'Mec', 'Mec', 'Trans', 'Trans', 'Vt', 'Trans', 'Rloc-']",8,official.sgml,True,False
3401,31,3,"Moreover, achieving the near impossible to eliminate all the illness such as cancer and diseases is the greatest achievement for human race.","Moreover, achieving the near impossible to eliminate all  illness, such as cancer, would be the greatest achievement for the human race.","['ArtOrDet', 'Mec', 'Mec', 'Rloc-', 'Vm', 'ArtOrDet']",6,official.sgml,True,False
3416,32,1,"For these older people, the society need man power and all kinds of resources to provide a better life for them.","For these older people,  society needs manpower and all kinds of resources to provide a better life for them.","['ArtOrDet', 'SVA', 'Mec']",3,official.sgml,True,False
3417,32,1,"Sometimes, older need more man power and resources than normal young people.","Sometimes, older people need more manpower and resources than normal young people.","['Others', 'Mec']",2,official.sgml,True,False
3419,32,1,We have to say that the older people are becoming a black hole for the entire society in terms of man power and resources.,We have to say that  older people are becoming a blackhole for the entire society in terms of manpower and resources.,"['ArtOrDet', 'Mec', 'Mec']",3,official.sgml,True,False
3426,32,2,Hence people died of various diseases.,"Hence, people died of various diseases.",['Mec'],1,official.sgml,True,True
3443,33,1,"Other diseases such as mental disorder and heart trouble are also top killers, the current medication does have methods to treat the patient, but risks still come along.","Other diseases, such as mental disorders and heart trouble, are also top killers,  current medicine does have methods to treat  patients, but risks still come along.","['Mec', 'Nn', 'Mec', 'ArtOrDet', 'Wci', 'ArtOrDet', 'Nn']",7,official.sgml,True,False
3445,33,1,"Patients in many developing and less developed countries, especially African countries, are suffering from simple and easy-to-heal diseases such as cold and flu and probably at the end of the day it becomes the end of their life, albeit they could have been treated well if they were in a country where medication system has been completed and doctors and nurses are standing by to cure these people.","Patients in many developing and less developed countries, especially African countries, are suffering from simple and easy-to-cure diseases such as cold and flu and probably at the end of the day, it becomes the end of their life, although they could have been treated better if they were in a country where the medical system is complete and doctors and nurses are standing by to cure these people.","['Wci', 'Mec', 'Trans', 'Wform', 'ArtOrDet', 'Wci', 'Vt', 'Wform']",8,official.sgml,True,False
3454,33,2,One can also easily see his deeply loved one through internet from miles away.,One can also easily see a deeply loved one through theInternet from miles away.,"['ArtOrDet', 'ArtOrDet', 'Mec']",3,official.sgml,True,False
3461,34,0,"While it is applaudable that people achieved great success in prolonging their lives, there are social challenges posted by the rising life expectancies.","While it is applaudable that people have achieved great success in prolonging their lives, there are social challenges posed by  rising life expectancy.","['Vt', 'Mec', 'ArtOrDet', 'Nn']",4,official.sgml,True,False
3472,34,2,"This would result in decrease in birth rate of a country which is a very serious problem,especially in more developed countries as the population has already reached a minimum.","This would result in a decrease in birth rate of a country which is a very serious problem, especially in more developed countries as the population has already reached a minimum.","['ArtOrDet', 'Mec']",2,official.sgml,True,False
3486,35,1,Ageing population leads to a working force composed of larger percentage of elders who are lower productivity and thus unable to meet the expectancy.,ing population leads to a working force composed of a larger percentage of elderly who have lower productivity and are thus unable to meet the expectancy.,"['ArtOrDet', 'Mec', 'ArtOrDet', 'Wform', 'Wci', 'V0']",6,official.sgml,True,False
3503,35,5,Rising life expectancies is an achievement but it poses more challenges to government and people.,"Rising life expectancy is an achievement, but it poses more challenges to the government and people.","['Nn', 'Mec', 'ArtOrDet']",3,official.sgml,True,False
3507,36,0,"From one perspective, it shows that the medical technology has improved over the years as people now are able to treat different deceases.","From one perspective, it shows that  medical technology has improved over the years as people now are able to treat different diseases.","['ArtOrDet', 'Mec']",2,official.sgml,True,False
3510,36,1,"Compare the technology today and the past, we can see that a lot of deceases are treatable, the number of people that died because of the deceases that is not treatable decreases.","comparing the technology today and the past, we can see that a lot of diseases are treatable. The number of people who died because of diseases that are not treatable has decreased.","['Wform', 'Mec', 'Srun', 'Trans', 'ArtOrDet', 'Mec', 'SVA', 'Vt']",8,official.sgml,True,False
3513,36,1,People are able to predicate some disasters like the earth quake and do the prevention beforehand.,People are able to predict some disasters like  earthquakesent them beforehand.,"['Mec', 'ArtOrDet', 'Mec', 'Nn', 'Rloc-', 'ArtOrDet', 'Wform', 'Others']",8,official.sgml,True,False
3517,36,3,The first challenge is the decreasing number of new born.,The first challenge is the decreasing number of .,"['Mec', 'Nn']",2,official.sgml,True,False
3520,36,3,"At the same time more people are needed to take care of the old ones, which gives the younger generation extra works.","At the same time, more people are needed to take care of the old ones, which gives the younger generation extra work.","['Mec', 'Nn']",2,official.sgml,True,False
3524,36,3,Ever imagine one day that no natural resources are left what will be the life of our next generation.,Ever imagine the day that no natural resources are left? What would be the life of our next generation?,"['ArtOrDet', 'Srun', 'Vm', 'Mec']",4,official.sgml,True,False
3530,37,0,"Studies have shown that the average life span or human being rising gradually over years, in the sense that the improvement of global technology in medicine helps human to live longer and enjoyed the world even more.","Studies have shown that the average life span of humans has been rising gradually over the years, in the sense that the global improvement of technology in medicine has helped humans to live longer and enjoy the world even more.","['Mec', 'Nn', 'V0', 'ArtOrDet', 'WOadv', 'Vt', 'Nn', 'Spar']",8,official.sgml,True,False
3543,37,1,It is a big challenge to eliminate all the disease in the world and keeping the life span to grow as people do sick every moment.,It is a big challenge to eliminate all the disease in the world and keep   growing as people do sicken every moment.,"['Spar', 'ArtOrDet', 'Nn', 'Mec', 'Wform', 'Vform']",6,official.sgml,True,False
3557,38,1,"Medical expenses, EPF and accommodation are the costs which directly involved to the old people.","Medical expenses,  and accommodation are the costs which directly involved   old people.","['Wa', 'Prep', 'ArtOrDet']",3,official.sgml,True,False
3567,38,2,"However, among the under-developed countries, developing countries and developed countries, we found that there is longest life span in the developed countries follows by the developing countries and the shortest life span in under-developed countries.","However, among the under-developed countries, developing countries and developed countries, we found that there is the longest life span in the developed countries, followed by the developing countries, and the shortest life span in the under-developed countries.","['ArtOrDet', 'Mec', 'Vt', 'Mec', 'ArtOrDet']",5,official.sgml,True,False
3572,38,3,There is the experience in life time.,It is  experience over .,"['Pref', 'ArtOrDet', 'Prep', 'ArtOrDet', 'Mec']",5,official.sgml,True,False
3573,38,3,"During the work, supervisor usually asks the so called ""old staff' to lead the newbie.","At  work, supervisors usually ask the so-called ""old staff' to lead the newbies.","['Prep', 'ArtOrDet', 'Nn', 'SVA', 'Mec', 'Nn']",6,official.sgml,True,False
3585,39,1,"As we are human who are different from other animals, we have some basic rights like right to privacy, right to live, right to have a family and so on.","As we are humans , who are different from other animals, we have some basic rights like the right to privacy, the right to life, the right to have a family and so on.","['Nn', 'Mec', 'ArtOrDet', 'ArtOrDet', 'Wform', 'ArtOrDet']",6,official.sgml,True,False
3587,39,1,"During the less developed times, due to disasters like droughts ,floods or severe contagious disease like black deaths, people at that time could lose their property and lives easily since they do not have enough power to protect themselves and restore their life in a short time.","During the less developed times, due to disasters like droughts, floods or severe contagious diseases like the Black people at that time could lose their property and lives easily since they did not have enough power to protect themselves and restore their life in a short time.","['Mec', 'Nn', 'ArtOrDet', 'Mec', 'Mec', 'Nn', 'Vt']",7,official.sgml,True,False
3592,39,1,"(CNN, 2011) However, only one year has passed, most of the survivors have come back to their normal life although with a sad memory.","(CNN, 2011). However, only one year has passed and most of the survivors have come back to their normal lives although with  sad memories.","['Mec', 'Trans', 'Nn', 'ArtOrDet', 'Nn']",5,official.sgml,True,False
3604,41,0,"Nowadays, population aging is becoming a problem especially in the developed countries.","Nowadays, population aging has become a problem, especially in the developed countries.","['Vt', 'Vform', 'Mec']",3,official.sgml,True,False
3607,41,1,"In some very small and developed regions and countries like Singapore and Hong Kong, if people still increase the humans' life, but for these small developed regions, the resources are very limited especially land.","In some very small and developed regions and countries like Singapore and Hong Kong,  the resources are very limited, especially land.","['Rloc-', 'Mec']",2,official.sgml,True,False
3611,41,1,"In economic, we can use GDP to explain the challenge, if GDP is low, it shows that most of people are living in a hard life, life quality is bad, then it will cause the terrible society problem, at last, it will happen the society disturbance.","In economics, we can use GDP to explain the challenge. If GDP is low, it shows that most of the people are living  a hard life. Quality of life, then it will cause  terrible social problems and at last, it will cause  social disturbance.","['Wform', 'Srun', 'ArtOrDet', 'Prep', 'Srun', 'Wci', 'Mec', 'ArtOrDet', 'Wform', 'Nn', 'Srun', 'Wci', 'ArtOrDet', 'Wform']",14,official.sgml,True,False
3618,41,2,"So according to the humanism, people should make contribution to rising the humans life, because people should consider the feelings if one day when you are becoming older and older, so respecting life should be considered carefully.","So according to  humanism, people should make a contribution to improving  human life. re, people should consider  feelings because one day when they will be becoming older and older. So, respecting life should be considered carefully.","['ArtOrDet', 'ArtOrDet', 'Wci', 'ArtOrDet', 'Wform', 'Srun', 'Trans', 'Mec', 'ArtOrDet', 'Trans', 'Pref', 'Vt', 'Srun']",13,official.sgml,True,False
3621,41,3,"In my opinion, I think we should study balance it well, one side we should continue to make efforts to raise the humans life, one side, we should consider using asking some sick old men whether if they want to take euthanasia.","In my opinion, I think we should study balance as well. On one side, we should continue to make efforts to improve the human life. On the other side, we should consider using asking some sick old men whether  they want to take euthanasia.","['Wci', 'Srun', 'Wci', 'Mec', 'Wci', 'Wform', 'Srun', 'Wci', 'Rloc-']",9,official.sgml,True,False
3636,42,5,Elderly people's ability to move and act is much lower.,Elderly people's ability to move and act is mureducesr.,"['Mec', 'ArtOrDet']",2,official.sgml,True,False
3641,43,0,Rising life expectancies is an achievement because it is an evidence of progress of modern medical technology and meanwhile it is a challenge because it can incur the problem of lacking work force or too large population.,Rising life expectancy is an achievement because it is  evidence of progress in modern medical technology and  it is a challenge because it can incur the problem of atoo smallworkforce or too large population.,"['Nn', 'ArtOrDet', 'Prep', 'Trans', 'ArtOrDet', 'Spar', 'Mec']",7,official.sgml,True,False
3647,43,1,"For ancient people it is miraculous to achieve 70 years old, but now it is general.","For ancient people, it was miraculous to achieve 70 years old, but now it is normal.","['Mec', 'Vt', 'Wci']",3,official.sgml,True,False
3648,43,1,Rising life expectancies can bring us more skilled work force because we can delay the retirement time to extend working time for each person.,Rising life expectancy can bring us a more skilled workforce because we can delay the retirement time to extend the working years for each person.,"['Nn', 'ArtOrDet', 'Mec', 'ArtOrDet', 'Wci']",5,official.sgml,True,False
3650,43,1,Thus it is more efficient to keep more skilled people for long time rather than training fresh men.,"Thus, it is more efficient to keep more skilled people for long time rather than training inexperienced workers.","['Mec', 'Wci']",2,official.sgml,True,False
3652,43,2,"On one hand, if there are less young people and more old people, lacking work force problem will arise.","On the one hand, if there are fewer young people and more old people, asmaller workforce problem will arise.","['ArtOrDet', 'Wci', 'ArtOrDet', 'Wci', 'Mec']",5,official.sgml,True,False
3656,43,3,"Thus there will be a lacking in labor force, which will lead a decreasing speed of development of the country.","Thus, there will be  too few in the labor force, which will lead to a decreasing rate of development of the country.","['Mec', 'ArtOrDet', 'Wci', 'ArtOrDet', 'Prep', 'Wci']",6,official.sgml,True,False
3665,44,0,"Population ageing is a phenomenon observed exclusively in advanced civilizations.It requires at least three conditions to happen: advanced health care system, reduced hazards from the environment and the ubiquitous good will for senior citizens.","Population ageing is a phenomenon observed exclusively in advanced civilizations. It requires at least three conditions to happen: an advanced health care system, reduced hazards from the environment and  ubiquitous good will for senior citizens.","['Mec', 'ArtOrDet', 'ArtOrDet']",3,official.sgml,True,False
3677,44,2,"A place with heavily polluted air and water is by no means a good habbitat and will bring a lot of health problems for its residents, among which aged people and children will be harmed most.","A place with heavily polluted air and water is by no means a good habitat and will bring a lot of health problems for its residents, among which aged people and children will be harmed the most.","['Mec', 'ArtOrDet']",2,official.sgml,True,False
3687,44,5,"In summary, the rising average life span is both a challenge and an achievement because it means the increase of the load and the advance of society, including at least advaced advanced health care system, reduced hazards from the environment and the ubiquitous good will for senior citizens, at the same time.","In summary, the rising average life span is both a challenge and an achievement because it means an increase in expenses and the advancement of society, including, at least,  an advanced health care system, reduced hazards in the environment and  ubiquitous good will for senior citizens, at the same time.","['ArtOrDet', 'Prep', 'ArtOrDet', 'Wci', 'Wform', 'Mec', 'Mec', 'Rloc-', 'ArtOrDet', 'Prep', 'ArtOrDet']",11,official.sgml,True,False
3692,45,1,"They may die for hunger, die from illness or just went to bed as usual but never waked again.","They may die from hunger, die from illness or just went to bed as usual but never woke again.","['Prep', 'Mec']",2,official.sgml,True,False
3706,45,2,"Furthermore, thanks to the development of technology, that the birth rate is increasing while the death rate is decreasing accelerates population aging and increasing.","Furthermore, thanks to the development of technology, that the birth rate is increasing while the death rate is decreasing, population ageing is acceleratingsing.","['Mec', 'Vform', 'WOinc']",3,official.sgml,True,False
3713,46,0,"As with the world is becoming more and more advanced, people are leading a more and more comfortable life.","With the world is becoming more and more advanced, people are leading a more and more comfortable life.","['Trans', 'Mec']",2,official.sgml,True,False
3731,46,3,"Taken together, we should say that the rise of life expectancies is two sided.","Taken together, we should say that  rising  life expectancy is two-sided.","['ArtOrDet', 'Wform', 'Prep', 'Nn', 'Mec']",5,official.sgml,True,False
3737,47,1,"This is the result of better quality of life; which is basically sufficient food and clean water, better sanitations and advanced health-care.","This is the result of a better quality of life; which is basically sufficient food and clean water, better sanitation and advanced healthcare.","['ArtOrDet', 'Nn', 'Mec']",3,official.sgml,True,False
3740,47,1,"Examples of how advance health in the city has raised life expectancies are such as antibiotics, the cure of poliomyelitis, and better and cleaner surgical procedures.","Examples of how advanced healthcare in the city has raised life expectancy include antibiotics, the cure of poliomyelitis, and better and cleaner surgical procedures.","['Wform', 'Mec', 'Nn', 'Wci']",4,official.sgml,True,False
3751,47,5,The rising life expectancies can be considered an achievement and a challenge because it is the by-product of rising quality of life; bringing along its glory and its dirty little secrets.,"Rising life expectancy can be considered an achievement and a challenge because it is the by-product of rising quality of life, bringing along its glory and its dirty little secrets.","['ArtOrDet', 'Nn', 'Mec']",3,official.sgml,True,False
3758,48,1,"Back to the ancient days, when human beings firstly appeared on the earth, the average life expectancy is only less than 20.","Back in  ancient days when human beings first appeared on the earth, the average life expectancy was  less than 20.","['Prep', 'ArtOrDet', 'Mec', 'Wform', 'Vt', 'Rloc-']",6,official.sgml,True,False
3760,48,1,"With the development of society, of the past thousands of years, the technology is progressing and the concern for health is arising, so that higher life expectancies are achieved.","With the development of society over the past thousands of years,  technology has been progressing and  concern for health is rising, so that higher life expectancy is achieved.","['Mec', 'Prep', 'ArtOrDet', 'Vt', 'ArtOrDet', 'Wform', 'Nn', 'SVA']",8,official.sgml,True,False
3778,49,1,"In the long history of the evolution, we are always struggling for life against staving and illness.","In the long history of  evolution, we are always struggling for life against starving and illness.","['ArtOrDet', 'Mec']",2,official.sgml,True,False
3782,49,1,"With a doubled life time, humans can have change to explore the real meaning of life.","With a doubled life time, humans can have achance to explore the real meaning of life.","['ArtOrDet', 'Mec']",2,official.sgml,True,False
3784,49,2,"On the other hand, the aging of Population can also be a challenge to the society.","On the other hand, the aging of thepopulation can also be a challenge to  society.","['ArtOrDet', 'Mec', 'ArtOrDet']",3,official.sgml,True,False
3810,50,2,Long life span for the individual himself is a great achievement which indicates he or she is brave enough to face the life full of problems.,A long lifespan for the individual  is a great achievement which indicates he or she is brave enough to face a life full of problems.,"['ArtOrDet', 'Mec', 'Rloc-', 'ArtOrDet']",4,official.sgml,True,False
3812,50,2,"Therefore, human need to appreciate the longer life span and consider it as an achievement.","Therefore, humans need to appreciate the longer lifespan and consider it as an achievement.","['Nn', 'Mec']",2,official.sgml,True,False
3813,50,3,The rising life expectancies are like a two side sword to the modern world.,Rising life expectancy is like a two-sided sword in the modern world.,"['ArtOrDet', 'Nn', 'SVA', 'Mec', 'Prep']",5,official.sgml,True,False
3815,51,0,"Rising Life Expectancies , Not Only an Achievement, But Also a Challenge","Rising Life t Only an Achievement, But Also a Challenge","['Nn', 'Mec']",2,official.sgml,True,False
3826,51,6,"And at the same time, these old people take up a larger portion of resource and budges of this society.","And at the same time, these old people take up a larger portion of resources and budget of this society.","['Nn', 'Mec']",2,official.sgml,True,False
3852,829,2,"Another example is Netherlands, whose most of his lands is a swamp under sea level, have used a good irrigation system to counter their problem and to make their land habitable.","Another example is Netherlands, whJapan,ost of his lands is a swamp under sea level, have used a good irrigation system to counter the problem and to make their land halandle","['Mec', 'Prep', 'Nn', 'ArtOrDet']",4,test.sgml,True,False
3856,1,2,"On the other hand, if there are ways can help us to control or cure the disease, we can going through thses process from the scope of the whole family.","On the one other hand, if there are ways can help us tto haveofrighteningeeffectseonwe can going through thses process from the scope of the whole have gotily.","['ArtOrDet', 'Wci', 'Mec', 'Mec', 'Prep', 'Vm', 'ArtOrDet']",7,official-2014.1.sgml,True,False
3857,1,2,"For an example, if exercising is helpful for family potential disease, we can always look for more chances for the family to go exercise.","For an example, if attitudesg is heasily ber family pwhether it becaring aboutse, we can always look for more chances for the family to go exercise.","['Mec', 'WOadv', 'Others', 'Prep', 'Mec']",5,official-2014.1.sgml,True,False
3860,1,3,"Although some people feel that an individual who is found to carry a dominant gene for Huntington's disease has an ethical obligation to disclose that fact to his or her siblings, there currently is no legal requirement to do so.","Although some people feel that an indivigowho is fothiso carry awithr Huntington's diseFor exampleical obligation to disclosefor apotential family her siblings, there currently is no legal requirement to do so.","['Vform', 'Mec', 'Prep', 'ArtOrDet', 'ArtOrDet', 'WOinc']",6,official-2014.1.sgml,True,False
3861,1,3,"In fact, requiring someone to communicate his or her own genetic risk to family members who are therefore also at risk is considered by many to be ethically dubious.""","In fact, requiring can keepone to communicate himembers'rhealth to family members who are therefore also at risk is considered bmembers whothave gote ethically dubious.""","['Vm', 'Mec', 'Rloc-', 'Ssub', 'Vt']",5,official-2014.1.sgml,True,False
3862,1,4,Nothing is absolute right or wrong.,Nothing is absolute rForest's viewng.,['Mec'],1,official-2014.1.sgml,True,True
3865,2,0,"Afterall, what affects one family may or may not affect another although the families has a common genetic make up, shared by either of the parents.","After all, what affects one family may or may not affect another , although families have a common genetic make-up, shared by either of the parents.","['Mec', 'Mec', 'ArtOrDet', 'SVA', 'Mec']",5,official-2014.1.sgml,True,False
3866,2,0,"In cases where an individual has gotten to know of a genetic disorder, disclosing or otherwise, to his or her relative is solely a matter of preference within the indivdial moral system.","In cases where an individual has gotten to know of a genetic disorder, disclosing it or otherwise to his or her relatives is solely a matter of preference within the individual moral code.","['Pref', 'Mec', 'Nn', 'Mec', 'Wci']",5,official-2014.1.sgml,True,False
3868,2,1,"This also means that as soon a person is made aware of his or her genetic profile, he or she concurently has a knowledge about others.","This also means that as soon as a person is made aware of his or her genetic profile, he or she concurrently has  knowledge about others.","['Trans', 'Mec', 'ArtOrDet']",3,official-2014.1.sgml,True,False
3869,2,1,"This knowledge maybe relavant to them, and vice versa.","This knowledge may be relevant to them, and vice versa.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
3870,2,1,Do one who suffered from this disease keep it a secret of infrom their relatives?,Does someone who suffers from this disease keep it a secret or inform their relatives?,"['SVA', 'Pform', 'Vt', 'Mec', 'Mec']",5,official-2014.1.sgml,True,False
3871,2,1,"In retrospect, its is also ones duty to ensure that he or she undergo periodic healthchecks in their own.","In retrospect, it is also one's duty to ensure that they undergo periodic health checksof their own.","['Pform', 'Mec', 'Pref', 'Mec', 'Prep']",5,official-2014.1.sgml,True,False
3873,2,2,"Depending on whom the genetic risk was discovered from: the son or daughter for example, the parents who knows about this would decide who gets told and whom takes the precedence in being 'allowed' to tell.","Depending on who the genetic risk was discovered in: the son or daughter, for example, the parents who know about this would decide who gets told and who takes  precedence in being 'allowed' to tell.","['Pform', 'Prep', 'Mec', 'SVA', 'Pform', 'ArtOrDet']",6,official-2014.1.sgml,True,False
3874,2,2,"For example, within a family, regardless of who had first received genetic information, parents were seen as having the primary responsibility to pass on information to any offspring, either adult at risk.","For example, within a family, regardless of who had first received the information, parents were seen as having the primary responsibility for passing on information to any offspring, or adult, at risk.","['ArtOrDet', 'Prep', 'Vform', 'Trans', 'Mec']",5,official-2014.1.sgml,True,False
3876,2,3,"From a practitioner's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","From a practitioner's perspective these findings are important because, if lay constructs of the family and kinship are a social construct, they may not be in line with geneticists' views of family relationships, or about which blood (or non-blood) relatives should be informed and by whom; this is also likely to be dependent on the cultural and ethnic context.","['Mec', 'Mec']",2,official-2014.1.sgml,True,False
3878,2,4,Whose duty it is to inform at risk relatives or not greatly depends on the personal moral and the nature of how 'directive' the risk is to them.,Whose duty it is to inform at-risk relatives or not greatly depends on the personal moral code and the nature of how 'directive' the risk is to them.,"['Mec', 'Wci']",2,official-2014.1.sgml,True,False
3880,3,0,"In this case, if one of the family members or close relatives is found to carry genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others known about the risk so that his/her familay members are able to perform some daily excesses to prevent the potential disease or they may go to hospital and check for the correspongding flows.","In this case, if one of the family members or close relatives is found to carry a genetic risk, it is better for the patient to tell his/her close relatives about the issue and let others know about the risk so that his/her family members are able to do some daily exercises to prevent the potential disease or they may go to hospital and check for the corresponding .","['ArtOrDet', 'Vform', 'Mec', 'Wci', 'Wci', 'Mec', 'Um']",7,official-2014.1.sgml,True,False
3885,3,1,"Therefore, to keep the information as secret to his/her future spouce would help the relationship.","Therefore, to keep the information  secret from his/her future spouse would help the relationship.","['Prep', 'Prep', 'Mec']",3,official-2014.1.sgml,True,False
3886,3,1,"Secondly, annouance the potential risk would cause the family member to be scared of this certain issue, although the factor would not be that serious, people would still fear that they would have some potential disease in the future thus go to hospital and do additional check or take more medicine in order to prevent the disease, and this creats unnecessary costs to the family.","Secondly, disclosing the potential risk would cause the family member to be scared of this  issue. Although the  might not be that serious, people would still fear that they will have some potential disease in the future , and so, go to hospital and do additional checks or take more medicine in order to prevent the disease, and this creates unnecessary costs for the family.","['Mec', 'Rloc-', 'Mec', 'Mec', 'Um', 'Wci', 'Vm', 'Trans', 'Nn', 'Mec', 'Prep']",11,official-2014.1.sgml,True,False
3887,3,1,"Furthermore, the annouance of genetic risk would affect the relationship with the relatives as sometimes others may think not to stay too close to the carrier so that they have less chance to get the potential disease.","Furthermore, the disclosure of genetic risk would affect the relationship with the relatives as, sometimes, others may not want to stay too close to the carrier, so that they have less chance of getting the potential disease.","['Mec', 'Mec', 'Mec', 'Wci', 'Mec', 'Prep', 'Vform']",7,official-2014.1.sgml,True,False
3888,3,2,"On the other hand, if the genetic risk is kept as a secret, although it may benefit the carrier to a certain extend and help to keep the privacy, but it has much larger negative impacts to the family members and relatives.","On the other hand, if the genetic risk is kept  a secret, although it may benefit the carrier to a certain extent and help to protect privacy,  it has much greater negative impacts on the family members and relatives.","['Prep', 'Mec', 'Wci', 'ArtOrDet', 'Trans', 'Wci', 'Prep']",7,official-2014.1.sgml,True,False
3889,3,2,"First, for the case of marrige, people should be honest and tell his/her spouce they may carry certain genetic risk that may affect their offsprings.","First, in the case of marriage, people should be honest and tell their spouse they may carry a certain genetic risk that might affect their offspring.","['Prep', 'Mec', 'Pref', 'Mec', 'ArtOrDet', 'Vm', 'Nn']",7,official-2014.1.sgml,True,False
